curr_epoch train_cost train_ler val_cost val_ler
1 958.5540100097656 0.9908963322639467 243.50357 0.90606344
2 293.7365249633789 0.967822241783142 58.4515 1.0
3 155.26224670410156 0.9997159123420715 57.18701 1.0
4 142.55390777587888 0.9993134737014769 54.388847 1.0
5 132.88057403564454 0.9995148062705993 51.692505 1.0
6 131.86229705810547 0.999869793653488 56.051315 1.0
7 134.4008644104004 0.9999999999999999 51.666756 1.0
8 141.98382263183595 0.9999999999999999 49.611877 1.0
9 122.16936264038087 0.9996071755886077 48.73793 1.0
10 129.37169036865234 0.999869793653488 53.325455 1.0
11 136.21321716308594 0.9997064411640166 46.475777 1.0
12 133.3056297302246 0.9999999999999999 49.94715 1.0
13 126.50034332275389 0.9999999999999999 51.122475 1.0
14 142.88736877441406 0.9996476709842681 51.665783 1.0
15 134.4411506652832 0.9999999999999999 51.63912 1.0
16 129.12795028686523 0.9999999999999999 53.04222 1.0
17 136.4629020690918 0.9999999999999999 51.773884 1.0
18 128.2859764099121 0.9999999999999999 49.699738 1.0
19 127.32443923950196 0.9999999999999999 52.42223 1.0
20 124.76850357055662 0.9999999999999999 50.227615 1.0
21 130.65582809448242 0.9999999999999999 52.28428 1.0
22 130.64519653320312 0.9999368667602537 48.604897 1.0
23 130.9674385070801 0.999869793653488 50.57058 1.0
24 128.74256820678713 0.9996710538864135 48.845863 1.0
25 136.78539352416993 0.9999999999999999 51.32 1.0
26 146.93679351806642 0.9998437523841857 50.200367 1.0
27 126.22782974243164 0.999874997138977 48.472202 1.0
28 136.24960479736328 0.9998511910438537 49.90571 1.0
29 124.26780853271485 0.9999999999999999 47.776344 1.0
30 125.47473373413085 0.9999999999999999 50.113674 1.0
31 134.9853042602539 0.9999999999999999 50.283653 1.0
32 125.50454025268554 0.9997596144676207 49.04521 1.0
33 134.36264266967774 0.9999999999999999 52.12104 1.0
34 130.96092224121094 0.9999368667602538 47.964382 1.0
35 136.81643447875976 0.9999999999999999 50.0747 1.0
36 135.17703704833986 0.9997159123420715 48.337124 1.0
37 119.27802200317383 0.9999999999999999 48.807693 1.0
38 135.4792304992676 0.9999999999999999 47.66591 1.0
39 127.71620712280273 0.9997023820877075 50.341988 1.0
40 130.59553604125978 0.9997135460376738 49.465416 1.0
41 117.1671012878418 0.9999080896377562 50.189594 1.0
42 130.6170837402344 0.9999999999999999 48.022373 1.0
43 131.61254959106446 0.9999999999999999 48.331596 1.0
44 127.21127471923826 0.9999999999999999 50.13147 1.0
45 132.5168502807617 0.9999999999999999 46.345352 1.0
46 127.01498565673829 0.9998214304447174 46.22535 1.0
47 127.79223251342773 0.9999999999999999 45.645515 1.0
48 124.96660461425782 0.9999999999999999 46.46524 1.0
49 127.36236343383787 0.9994228959083556 48.584793 1.0
50 135.48748626708985 0.9999999999999999 44.42151 1.0
51 126.83740615844725 0.9999999999999999 46.425827 1.0
52 125.87453536987304 0.9999999999999999 46.539864 1.0
53 125.03302764892578 0.9998437523841857 46.17235 1.0
54 129.3282638549805 0.9996710538864134 44.380554 1.0
55 119.7469871520996 0.9999999999999999 47.17173 1.0
56 129.67558975219725 0.9997596144676207 46.805958 1.0
57 117.7387237548828 0.9999999999999999 45.950073 1.0
58 130.3719299316406 0.9999999999999999 47.734493 1.0
59 125.5764663696289 0.9999999999999999 47.681496 1.0
60 124.80710449218749 0.999897539615631 45.05269 1.0
61 127.41970748901369 0.999869793653488 44.730873 1.0
62 123.67514648437502 0.9999999999999999 47.997334 1.0
63 125.2617790222168 0.9996997594833373 43.56797 1.0
64 117.66268005371096 0.9998437523841858 46.320076 1.0
65 122.82583236694336 0.9999999999999999 45.03471 1.0
66 125.55457153320313 0.9999999999999999 47.297073 1.0
67 121.19993362426757 0.9999999999999999 44.530773 1.0
68 128.12417068481446 0.9999999999999999 47.232635 1.0
69 124.91939849853516 0.9998437523841857 43.94961 1.0
70 122.28586654663086 0.9999999999999999 47.013718 1.0
71 113.07957000732422 0.9999999999999999 42.409317 1.0
72 117.32427368164063 0.9999999999999999 42.96894 1.0
73 115.1204002380371 0.9999999999999999 45.670395 1.0
74 121.75387115478516 0.9999999999999999 43.07448 1.0
75 120.14489212036133 0.9999999999999999 42.90021 1.0
76 121.21728591918945 0.9999999999999999 45.688095 1.0
77 112.23767089843749 0.9990142345428465 44.98557 1.0
78 114.47475051879883 0.999697059392929 42.34943 1.0
79 115.83638153076171 0.999770587682724 45.76742 0.9861111
80 117.10026168823242 0.9996670067310333 43.84532 0.9965278
81 107.99624633789062 0.9994809746742248 41.77 1.0
82 116.84796447753907 0.9998958349227904 43.156067 0.9930556
83 117.06304779052734 0.9984730005264281 42.801086 0.9930556
84 117.28814086914062 0.9982812821865081 44.441765 0.9965278
85 111.37523727416992 0.9986572861671448 45.86924 0.9965278
86 112.09906768798828 0.9963208854198455 44.20861 0.9930556
87 109.51072463989256 0.9969002962112428 41.884735 0.9965278
88 117.94621047973632 0.9976466596126558 45.55087 0.9930556
89 116.36757736206054 0.9958788931369781 44.338898 0.9965278
90 104.64561004638672 0.9959591805934905 43.789375 0.9965278
91 112.8356819152832 0.9936023712158204 40.832024 1.0
92 107.88487777709962 0.9922152161598206 41.96728 0.9861111
93 113.93627853393554 0.9918706893920898 44.711227 0.9895834
94 106.86082992553712 0.9915744245052337 40.20459 0.9930556
95 109.53866806030274 0.9911420941352844 41.97291 1.0
96 105.6214668273926 0.9882437467575074 43.434143 0.9930556
97 103.12997894287108 0.9813671290874483 43.402206 0.9965278
98 112.41678390502929 0.9826688468456267 40.282364 1.0
99 103.2031478881836 0.9756023764610291 41.416008 0.9965278
100 105.577352142334 0.9793340146541595 40.83948 0.9965278
101 107.03769607543944 0.979230809211731 40.100082 1.0
102 101.79824981689454 0.966738998889923 42.620106 0.97847223
103 101.91739044189453 0.9646219015121461 43.67958 0.98888886
104 111.21866531372072 0.9688399612903595 41.86999 0.98521245
105 102.80125579833984 0.9529027223587034 42.09905 0.9752859
106 104.15204849243163 0.9535655021667481 39.814697 0.9923611
107 105.44633026123049 0.938632357120514 41.77136 0.97713953
108 104.28618087768555 0.9363752007484435 40.166702 0.96979165
109 104.45958557128905 0.9435913324356077 39.087006 0.94442296
110 98.25456008911131 0.9110801577568054 41.167645 0.96979165
111 98.67041549682617 0.9296515882015227 40.905598 0.9543585
112 97.65968627929688 0.901912271976471 36.257057 0.97065973
113 95.5136932373047 0.8908091723918913 40.797897 0.9460252
114 95.1527618408203 0.8867097973823547 40.825233 0.94279003
115 95.99381942749022 0.8817835211753846 36.80249 0.92653185
116 98.02534179687501 0.8774557530879974 38.235085 0.93194443
117 95.01848602294922 0.8641803085803984 41.770447 0.8894156
118 98.65692138671875 0.860739803314209 39.336987 0.924814
119 93.90242767333984 0.8453772723674773 38.06035 0.875194
120 90.76499404907226 0.844395411014557 40.197205 0.89611924
121 94.63590469360352 0.839381319284439 37.991337 0.9088235
122 94.81564483642579 0.8188190162181854 43.46411 0.9179094
123 103.93716583251953 0.8278384566307068 37.945545 0.88786554
124 93.05657806396485 0.8079547703266143 38.409107 0.8733281
125 97.62768936157227 0.7985440969467162 42.517105 0.880196
126 85.34619445800782 0.8142529129981995 33.30627 0.8525221
127 92.08122787475585 0.7939655780792237 42.805305 0.8596231
128 94.8892219543457 0.7910338103771208 37.97793 0.88337207
129 89.88481369018555 0.7810507118701935 39.8573 0.8464848
130 92.2564613342285 0.7771325409412385 38.016945 0.8200164
131 88.31563568115233 0.7610792398452759 38.520313 0.8631638
