curr_epoch train_cost train_ler val_cost val_ler random_shift
1 1245.32556152 0.911764681339 425.654 0.916667 328
2 503.511230469 0.931034505367 214.302 0.96875 600
3 180.661849976 0.931034505367 325.487 0.941176 202
4 244.114196777 0.961538434029 229.291 0.958333 183
5 226.515106201 0.884615361691 188.508 0.958333 855
6 216.041671753 0.78125 226.427 0.793103 993
7 171.684616089 0.75 250.205 0.827586 497
8 115.062812805 0.730769217014 251.07 0.827586 663
9 107.427215576 0.884615361691 91.1256 0.884615 271
10 121.193145752 0.6875 74.4608 0.791667 85
11 119.061096191 0.846153855324 120.117 0.764706 947
12 69.222984314 0.708333313465 205.775 0.724138 645
13 122.231498718 0.676470577717 109.744 0.6875 358
14 118.149703979 0.647058844566 64.7727 0.75 547
15 64.7426986694 0.708333313465 199.938 0.793103 448
16 87.5773010254 0.769230782986 112.377 0.705882 637
17 112.115379333 0.705882370472 129.872 0.75 56
18 124.938308716 0.71875 103.438 0.71875 590
19 209.239242554 0.72413790226 109.623 0.8125 22
20 75.247215271 0.807692289352 84.9634 0.884615 694
21 87.4175186157 0.769230782986 122.263 0.724138 663
22 112.126174927 0.676470577717 111.551 0.71875 834
23 134.092193604 0.758620679379 70.3004 0.791667 690
24 105.328865051 0.827586233616 110.206 0.827586 450
25 108.978561401 0.84375 439.675 0.961538 714
26 149.449676514 0.86206895113 170.967 0.827586 3
27 668.3046875 0.730769217014 72.3449 0.75 397
28 70.3712844849 0.791666686535 151.566 0.78125 394
29 152.568389893 0.75 132.926 0.735294 943
30 94.2344818115 0.769230782986 138.322 0.735294 237
31 90.6026153564 0.807692289352 99.9662 0.75 76
32 101.750045776 0.78125 115.125 0.84375 781
33 91.518447876 0.769230782986 145.122 0.764706 362
34 74.9236602783 0.653846144676 71.6579 0.730769 422
35 103.460525513 0.78125 87.4808 0.71875 132
36 89.3611602783 0.75 94.0073 0.78125 177
37 96.2687149048 0.692307710648 191.732 0.735294 961
38 181.654922485 0.676470577717 202.61 0.896552 241
39 85.4745178223 0.75 165.761 0.793103 940
40 78.8088912964 0.75 143.656 0.793103 106
41 77.9881134033 0.708333313465 104.609 0.705882 658
42 128.605407715 0.692307710648 104.153 0.764706 712
43 105.141777039 0.794117629528 168.792 0.931035 797
44 170.145446777 0.827586233616 142.186 0.793103 281
45 99.2167816162 0.676470577717 106.838 0.78125 245
46 90.1686477661 0.692307710648 95.8445 0.735294 244
47 112.709243774 0.758620679379 152.025 0.875 877
48 177.065673828 0.8125 98.762 0.8125 871
49 86.7677154541 0.769230782986 98.1995 0.758621 800
50 84.2667694092 0.78125 63.6932 0.708333 687
51 108.835472107 0.72413790226 87.107 0.78125 926
52 98.7077407837 0.735294103622 94.7152 0.735294 160
53 94.7136001587 0.647058844566 119.003 0.758621 518
54 88.6639862061 0.676470577717 115.632 0.827586 499
55 67.9472732544 0.75 70.6277 0.730769 673
56 114.694717407 0.793103456497 69.3143 0.692308 474
57 68.6213226318 0.769230782986 78.7257 0.705882 174
58 66.7735443115 0.75 71.9918 0.769231 25
59 97.2508239746 0.758620679379 62.2 0.75 549
60 90.9664611816 0.78125 92.4798 0.758621 934
61 87.7638473511 0.689655184746 83.5728 0.769231 638
62 78.2093734741 0.6875 88.6917 0.705882 623
63 81.8367462158 0.769230782986 80.3635 0.769231 415
64 75.1595916748 0.692307710648 75.3609 0.6875 401
65 96.5363922119 0.735294103622 96.2177 0.62069 47
66 62.1765823364 0.692307710648 97.5869 0.689655 32
67 93.6466598511 0.647058844566 67.1988 0.730769 773
68 93.3955841064 0.689655184746 84.2412 0.666667 728
69 70.6569747925 0.6875 73.4512 0.71875 115
70 85.6274871826 0.617647051811 71.2584 0.653846 523
